,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
1592,MASTER,c12As6_HoregVvxpa26aTWUP04ls3ctTB_LJB7wOIUU0Amw,Life Afraid,23,134,107,False,False,False,False,tvbbuj1XvGF-6UlaJNn26U_S8GjkSAi4w-R6q9OdM9QtNOg
1593,MASTER,fFKeRIFHt5NP3V3S4z1KhHxJsPQWT8rYazDYo3JjnoYuHoE,Nearly Dead,147,722,731,True,False,False,False,w-w4Fub4N4OguVXH0QmLnGwjmfPdi4cii3DFy2nc8YZYCN8
1594,MASTER,fFOjrt51nc8Nx_8ANQIc9zi5FNOZe82W9L7XKUPs5rP8nZE,MidNOne,130,243,162,True,False,False,False,P0LVVl-8tTnjcoCBwZCe5mneHeXjxmAHbCfLdXvJokKcPRXh7k2x4b5H
1595,MASTER,yg8Ip2_hcXKTthHVOauG1mk4SsDeo2kzW-M-KinZ1cuGWQ,wlfkfgksp,358,324,262,False,False,True,False,iqK7qn3n1A8u7zh2BCNPpthsIX_B5FOVjNCoTjjoCUga
1596,MASTER,ecFFWjHrLRHxBPxgzQh5c8xSSUVA2I3jYJ4FO6ymtRPp_A,짱쎈희,0,86,66,False,False,True,False,-J0qC8GhwBcYNJWM4rMRbOravN7f4VqKmJTMGyP7a_Cb
1597,MASTER,1P-HRK7bB8IC7gGf3G4COG1gOPmzcXIU2UCEsDnYLGA9mHw,미라클 아칼리,20,828,838,False,False,False,False,Nv-JpeTp4miQEdaXBHQQJUf23IpUlDMSyvsrZUocAH0-_DE
1598,MASTER,TuuCEhHlR9lLDQ35DiT1L-k7l8TbmyeXDbqce3fEhshgskY,Cuzz,98,50,38,False,False,False,False,KlIVx6o5B7gSpQsvmDdYKhViiI6akvM3lioOKDv6z5-rtJE
1599,MASTER,Za4b06zhKt-q6MYrug-MIZdY121Ppue0vSBNgXAZTrYkNyY,Moving forward,0,321,248,False,False,False,False,MFoDjr27rR_uWkl8yG86VM6UK1LbQLzR6oT-1eRXitHFf_DgzWcl8sLi
1600,MASTER,cmPAmWufvHoQpU-YHMePSjHDpIctKeo8vuJG_X8mWSgyxbo,서 헐랭,0,88,74,False,False,True,False,Do2aQZq4yEq1Wnlq7Dfwvz3nHGpKJ423mzk9E3HO66j4Luk
1601,MASTER,h8w9crU-tjOhIvlQLdq44mG3kCdLB1pqls-YGmWFYXjhfOvd,God of Diamond1,0,219,148,False,False,False,False,kckbEAqURxRDhWpNE0ZC_zilbk1KE9f_DUqhN_zE-Ty5W22Hm7JEeAol
1602,MASTER,iYz0TUiBQrmauWoZWGtUyQOl-mF1IWbt78pq7NV39gkdbkYJ,Sweetheart95,151,270,187,False,False,False,False,AWBVYUCm6fStXN6iXrtzar0EltiNxh6RhwGmpLHG09cuXa4u6qU_USWH
1603,MASTER,8ORjKG-QqB6AbZC_Okt73BQfzTtR855sl8aGE2RTsr0Ztw,yz123yx12,57,318,325,False,False,False,False,lGBGc8ra9TOrpM_3rCIxriQXbeWgdRoedp4_b-ze43RS
1604,MASTER,neoQ6NJ3d-Sm1HZzITZbGUYzLYt0rcCklAAF2COWuC69x5I,capturial,335,224,189,False,False,False,False,JI7ek0rQ3yuxAijYiQdinxFS3MSICsnc7F9T_LBwoCaMSKs
1605,MASTER,SvAiti-EmqNQugr7FKAe-bzy2mcNnPatRCkbrTcxCdmm_Mg,유미노틸바드라칸,173,956,878,False,False,False,False,w8iWVjUDWRzQ1dMqEXfClFHOMBeSaiXkjlHlE0oB8CxkR9cwzW9TEC3o
1606,MASTER,upzVZkYcyqEsCe0RfbchBQp08kvCrzHj9uJwAJUISE2_Mw,찬우펭귄,341,255,221,False,False,True,False,mG8yaQT90PgFiJyWllPyRuTi2h_t8SUPtLLgbiu9YMk9
1607,MASTER,bzRGlSKnIPKWoRkmbtKyLhhK2C2AoqhQ2F4uaptWE1HzKps,fewpay,0,153,81,False,False,True,False,ryTTNN326RkKeFKf71cUYE7pxFr0V4T8Z8QNjGu_UbadJ9E
1608,MASTER,rNMv1jvSz5GBZksphk4gBY_IZbdPBwHR3cxgMGp1qQ-Pcg,Codename GAS,0,273,247,False,False,True,False,sEK-lKbJtE0wLHIMUFL2Q7NsftRowcSL_oW0rrufesWK
1609,MASTER,y0pSh-5mcnDqDa2-bPMb4X3Xb3jx4Qx0k_fZ9pnRnJK1-pw,사 닝,0,160,83,False,False,True,False,qGawgAk-TjQ1IK1G1_BDBrGmtzC8QzqedoyOSoFyzbdVvCnhg8j_1urW
1610,MASTER,oV8WFEb4OSwq-qT4vQnAuJo5RN57Nn4hhygkyv4TI1hRZQA,Ehri,361,695,667,False,False,True,False,NyDnVm5-3Jn2-B-3v8JPKNueW4Fv-hl_hs9Hpl62C3Uw8gg
1611,MASTER,euGi99Xrg2Yxj3HUdEepfpkEZY_yswZOm6hUzwTUXnbdoms,Palau,316,267,182,False,False,True,False,nODT3JY6CILy1KhLXGbHHh4ZaaJ2mzCBq_3KougG4Z93Y7oOrd86xCO_
1612,MASTER,Ifmz6dSJnrIIMa1DNQ5nki9b7oMJnYGsU2OGKgyVMPL5J10,갱각잘보는정글러,28,265,197,False,False,False,False,JpFqWBYMA2mp3hAxxLO2-wZPnC6slJCy5dL_mfJSQRLjOmE
1613,MASTER,FX1ag3DYvLjbCEBvdUB0D-Xlaxjz7UKejqrPKBNDr2l1L1c,AFTV 구지곽,317,716,665,False,False,True,False,mvWxfjc45iXcjcs-lDUM6b7tRwJonhEe8PqEwlI6zJBA0utJ2vnO_2kL
1614,MASTER,6-xKZZqS7_d5llqzqD0inj669LQ0chKpXdCadjfKkmtVcjk,ihateu1,253,124,98,False,False,False,False,pDv2Tah3q1BW7ofwT-qw-_q_voVev2ahBD78q5nCJA-Mvcocdmf0k-CY
1615,MASTER,ecISC0MJ0ELObd0EiCChJqTYr5TJw-OM9ehP52VwDdWfGw,탑혜지가요,22,257,198,False,False,True,False,JYXxSwf7DG91aKO2omnk1rXNKEKyej-OSWTEUdXtyDLK
1616,MASTER,Oru8JmMmHs58f1TdviJy4NL4Oe3XgZnl-BBmKt2HCFXf0A,담원의롤드컵우승,17,711,686,False,False,True,False,LBSpeQqJFQ4a0-yotzerK2_oW6d0-T5uEdTV92avMz8
1617,MASTER,c5Lmpy5y-uVHOMLd9UgqbKCnanG0C0YQYzvsObHaIVrf24Q,Asunazz,0,219,156,False,False,True,False,TXLhy2Vju7vEPjC-Pz9QCgAbFGTDPyf7CKSifFBx28KhB8OMhDyxXzym
1618,MASTER,ESXqRK3i3jih-jqGDsESmlmfb_2HzSteDMBY97114tq60vY,와르가르,222,436,419,True,False,False,False,vepH1oeCt7JVAwaG9QRyb-FK-iOcpwvluDFYJZkQqre74ytcvicyaWHl
1619,MASTER,lSXT2xD0lXy3yUXj8PE4t-AmiiQpPl2gW51Vx0RNlBbN-Y8,스케리,55,759,728,False,False,True,True,RZWgWIxgDLBIDUBTVn7M5M-CMai9sNDucNNdMKjc_uZfBDt2Kh8NBd5a
1620,MASTER,5wGNLmvkEtgel7kMRp9_c9iS8IWIrOl-wCUOpbDCMh5U1eU,MAMBA KOBE,284,147,76,True,False,False,False,uzNWiDYBnL9mgh0SpwfJuJJODCPNqh0m4MjoOtfiVtloCQYTDD4AyleZ
1621,MASTER,0Vx4X5Z-Ih3tr8LJEhvItqtA02l_YNMg1WLndibhVb-rEZg,Xitie Street,249,1203,1187,False,False,True,False,Xu7zF96ezQk6d6G0yLLB03LwvvdZCMnpdpty8E2b_JkKuCxIVUlBJUyJ
1622,MASTER,ksGl1U-EW_r8Ii0TeEoplKfFJMIhIQ6ba0IR-TPJJnQh-Q,난 귤이야,119,408,363,False,False,False,True,QT9KvJYTQcoy-ryHTojKEBEJc-NtADHzYHmCxBnHVHC3
1623,MASTER,zl1331jCyXYA6UB58j578cTjROk4c0jXGIdaeVrBswyH5gg,환생좌,172,255,192,False,False,True,False,9qlVpRXGOgLe01HR9wxrQWdgjHBcR1kpu_hp6DLdZGjUEXw
1624,MASTER,dsTW6RL6UTxlu3C9uRrPKw8SqKgyB3sMnOW2Z-KEycwvnlo,기름쟁이 원딜러,0,598,560,False,False,False,False,QYFUX-YwqEi0TtK7Gt9x3TjFAsMjzLab91jdZQlDIlVJbQw
1625,MASTER,CGMj9I64-oUpwBGl6Xb1Meb08FGzpdAsWcqmwzdipoPz1Q,All M1ght,0,110,88,False,False,False,False,8gleS5Pd7hFCKSrQERjPLEdt0gfcjVPLcEyZ1wIX5s4B
