,0
509,25.496964
510,-20.458921
511,51.13134
512,21.78794
513,17.694548
514,33.24059
515,-4.513451
516,-15.711321
517,7.695385
518,-13.54255
519,-26.5968
520,-66.350815
521,5.68477
522,13.92411
523,39.14722
524,-25.531797
525,-23.985603
526,10.346882
527,2.384747
528,9.115651
529,-45.63066
530,48.128193
531,31.133904
532,-76.34249
533,26.68094
534,-13.182348
535,-13.489069
536,17.648151
537,26.306019
538,10.140333
539,-32.092915
540,-63.878963
541,57.57992
542,74.48308
543,-56.529987
544,7.399988
545,47.493874
546,-46.610733
547,-67.05287
548,24.869818
549,-21.03996
550,22.398224
551,61.6238
552,12.576826
553,-44.857803
554,1.2769758
555,-44.9015
556,37.89523
557,-39.831104
558,64.395584
559,-77.53267
560,-54.828484
561,54.067356
562,-33.512505
563,-53.6569
564,6.755455
565,-33.32535
566,-40.97194
567,-73.35767
568,-67.23639
569,-4.4226003
570,18.865326
571,-18.573282
572,12.575266
573,14.230275
574,45.641403
575,25.465124
576,-22.93147
577,10.872837
578,39.839844
579,-25.507162
580,-17.107954
581,-50.681255
582,-32.593113
583,47.179317
584,-37.04916
585,-22.62302
586,49.570965
587,-74.38519
588,50.9443
589,-41.50074
590,71.139854
591,29.233582
592,39.553085
593,-28.022505
594,73.74455
595,-31.369362
596,-4.442434
597,-8.598819
598,76.10558
599,55.86808
600,-69.69415
601,21.29204
602,-51.656376
603,66.75101
604,64.23529
605,26.75627
606,-39.58305
607,-34.893284
608,-50.761986
609,32.221085
610,-71.45875
611,-17.448868
612,64.20018
613,-30.07706
614,-14.254695
615,-71.8118
616,-24.754183
617,58.397232
618,-9.70094
619,5.021987
620,76.37037
621,54.96466
622,19.167072
623,-33.20757
624,6.617046
625,0.954194
626,-53.76289
627,41.044292
628,2.3744085
629,-35.802525
630,59.91424
631,55.44599
632,-38.505867
633,8.925164
634,0.96632504
635,32.7818
636,-18.668766
637,45.442528
638,42.725548
639,53.898975
640,-71.84336
641,39.50326
642,-26.481552
643,-40.259155
644,38.238537
645,59.861946
646,21.592566
647,71.36998
648,60.22769
649,4.4025884
650,20.829828
651,76.67038
652,73.28153
653,21.675167
654,7.4952374
655,67.62142
656,11.793216
657,-31.45575
658,-37.69025
659,-29.514961
660,-8.56337
661,-11.833676
662,-64.872696
663,12.932874
664,-41.24583
665,16.304195
666,-15.109814
667,-21.451235
668,69.95475
669,-61.28132
670,-74.43235
671,78.079025
672,73.25485
673,-77.2933
674,69.09533
675,65.01796
676,-44.56096
677,-14.029654
678,73.45655
679,74.39239
680,-77.40348
681,11.398303
682,25.309202
683,26.12503
684,-13.240055
685,75.87479
686,62.611362
687,-72.81553
688,68.47766
689,76.12699
690,-53.66471
691,77.639915
692,-34.68025
693,74.230965
694,10.444144
695,10.123867
696,-47.569374
697,75.35342
698,38.15818
699,67.91921
700,-0.17026436
701,33.433575
702,-55.184254
703,-21.560017
704,-55.10198
705,25.761572
706,-49.04085
707,9.371363
708,15.751747
709,63.880398
710,64.27385
711,30.327726
712,14.498096
713,-48.486866
714,47.04352
715,-4.229869
716,-14.95839
717,-52.89263
718,-42.47798
719,38.296444
720,-74.81379
721,-27.785795
722,69.29715
723,-8.69522
724,-31.334776
725,-67.61522
726,4.7409816
727,9.03341
728,-51.509357
729,-28.582518
730,53.312183
731,-7.406836
732,-75.23899
733,1.3471334
734,32.979572
735,20.418222
736,-54.14867
737,-63.75993
738,-40.481728
739,-27.624979
740,38.060455
741,-44.434273
742,-50.89158
743,-77.00767
744,-74.639885
745,-59.709366
746,-76.610085
747,24.222383
748,-51.084915
749,-54.066826
750,30.799791
751,-30.375086
752,-9.779497
753,20.869745
754,75.341034
755,12.216227
756,47.406105
757,-60.352303
758,-32.560528
759,1.6674157
760,55.23797
761,3.5284338
762,58.33888
763,-39.732418
764,55.42672
765,39.8719
766,64.91709
767,1.4240752
768,-20.353912
769,-39.95194
770,56.225086
771,25.33643
772,-42.316418
773,-72.409424
774,-34.285294
775,71.557655
776,-53.71296
777,-31.899439
778,48.090954
779,41.13525
780,-2.0642858
781,-13.17502
782,-22.888607
783,-63.901184
784,12.045196
785,38.53944
786,-76.09437
787,-30.332972
788,-2.0089428
789,-51.306362
790,-51.837048
791,-22.227663
792,-1.9999311
793,-46.738453
794,-59.216526
795,73.40343
796,-34.553646
797,77.748474
798,75.114456
799,38.634995
800,78.333595
801,22.5102
802,67.32304
803,-55.278442
804,-73.84118
805,72.25834
806,4.031773
807,-47.003685
808,14.921934
809,-70.31962
810,-9.591641
811,-62.64819
812,-38.190178
813,-37.421272
814,-67.83464
815,2.863371
816,-23.55425
817,-22.055185
818,-28.60556
819,58.665615
820,45.831306
821,40.014668
822,-30.576374
823,57.155445
824,-46.914158
825,37.028603
826,28.473282
827,17.187721
828,48.62148
829,-25.992434
830,74.64614
831,3.2670543
832,62.826405
833,-24.84808
834,18.206099
835,63.16585
836,-34.493633
837,39.389282
838,-11.7223835
839,-17.115162
840,-26.779943
841,-48.509583
842,-49.895126
843,66.80306
844,52.0194
845,-27.865662
846,33.928165
847,-34.952095
848,-8.667202
849,19.967884
850,33.532005
851,72.01521
852,-62.139706
853,51.02657
854,-22.701666
855,-7.1724153
856,47.53421
857,-20.350368
858,34.915424
859,5.7763286
860,15.746772
861,-75.68465
862,39.36331
863,-65.46522
864,15.68557
865,-24.02655
866,-61.58046
867,31.16947
868,-61.436234
869,-6.1234274
870,30.025547
871,-62.55436
872,-42.37948
873,54.980457
874,-64.86217
875,-64.596565
876,-64.84544
877,-61.538906
878,-76.454895
879,-64.982376
880,9.589651
881,-3.0132437
882,-63.00244
883,-65.11716
884,-61.573635
885,-64.82367
886,-62.21669
887,-32.59132
888,-64.95935
889,-5.501184
890,27.694479
891,-65.17244
892,-64.68354
893,-2.8372567
894,10.413335
895,-18.320192
896,-64.86955
897,61.63694
898,-64.71132
899,-62.70188
900,68.116684
901,-3.0434282
902,-77.21151
903,-64.6084
904,-64.651596
905,-62.587193
906,-65.03748
907,57.229706
908,-45.637123
909,26.420197
910,76.79338
911,49.716167
912,47.367138
913,45.65847
914,-18.343395
915,-25.747025
916,5.9068894
917,34.584854
918,-15.38159
919,-50.2631
920,57.997444
921,63.569942
922,16.68608
923,7.6935863
924,33.19672
925,-31.773989
926,-25.372517
927,58.920708
928,-30.166698
929,-29.100302
930,29.242947
931,-15.851308
932,-68.136406
933,55.50947
934,48.631878
935,2.3145127
936,-48.881638
937,25.406271
938,-12.171227
939,-30.510845
940,-6.1637006
941,43.734932
942,66.91879
943,-53.99109
944,-60.015835
945,21.8504
946,-7.198669
947,-46.97953
948,-45.5309
949,13.00392
950,16.362072
951,20.148537
952,6.3110228
953,-12.964505
954,-56.313633
955,6.038556
956,16.37108
957,-2.8609052
958,57.688442
959,-66.44709
960,-26.158737
961,-26.562973
962,-25.037434
963,-6.8126817
964,52.820183
965,73.56685
966,13.875457
967,-19.639381
968,18.741585
969,-42.811832
970,-20.355204
971,64.710594
972,-24.209986
973,4.9439783
974,63.870457
975,0.052945793
976,7.6407766
977,33.92541
978,-33.949276
979,3.2947006
980,9.4744
981,-42.899445
982,10.242718
983,55.85356
984,0.44842795
985,-70.78568
986,9.876813
987,-24.66832
988,-56.892998
989,-31.235826
990,-1.8929693
991,15.471845
992,62.06971
993,-42.09093
994,-7.6025515
995,-43.83545
996,1.8429224
997,59.04111
998,71.72831
999,33.3562
1000,42.57277
1001,77.36356
1002,-73.31024
1003,-71.99635
1004,44.610424
1005,30.843954
1006,37.525894
1007,-11.641885
1008,-72.00367
1009,45.435867
1010,32.58863
1011,61.65829
1012,71.46699
1013,77.53893
1014,-14.853487
1015,77.34167
1016,31.102388
1017,62.803757
1018,-22.127665
1019,41.36648
1020,30.307129
1021,-71.27458
1022,50.09164
1023,-40.72191
1024,65.72501
1025,64.8642
1026,58.771282
1027,64.70763
1028,76.55061
1029,17.738228
1030,74.90325
1031,51.848896
1032,18.633404
1033,-50.717384
1034,64.94714
1035,-2.099953
1036,-9.762869
1037,14.228527
1038,-59.554512
1039,59.6885
1040,28.40616
1041,27.982138
1042,61.840656
1043,-57.76152
1044,-76.36968
1045,58.70447
1046,-37.499012
1047,11.7089615
1048,2.4318817
1049,31.190216
1050,-9.3652525
1051,-43.180622
1052,-33.383713
1053,-0.5394918
1054,11.593502
1055,-12.158758
1056,60.12901
1057,1.0418215
1058,-59.444736
1059,-48.375553
1060,57.550278
1061,-8.730805
1062,-0.21593235
1063,17.454662
1064,-5.5427694
1065,34.080593
1066,47.242928
1067,13.579684
1068,34.132347
1069,7.984943
1070,24.329622
1071,38.69248
1072,-33.641712
1073,-10.138492
1074,-5.3568535
1075,2.1442628
1076,16.463636
1077,46.44694
1078,19.98582
1079,1.1868846
1080,-24.631174
1081,-61.396114
1082,55.519497
1083,-52.3457
1084,-27.4862
1085,9.499549
1086,15.161923
1087,-58.76594
1088,-13.573508
1089,-48.768753
1090,69.43331
1091,41.45416
1092,16.446907
1093,49.10342
1094,-46.622402
1095,-14.968403
1096,57.25389
1097,17.654509
1098,1.8050635
1099,-69.62437
1100,36.024822
1101,37.02245
1102,2.3854144
1103,35.938168
1104,28.589077
1105,-62.91211
1106,-65.02281
1107,-29.071106
1108,-66.54678
1109,71.06896
1110,8.600087
1111,5.4803047
1112,-67.32612
1113,-65.873795
1114,72.000885
1115,-58.303085
1116,-62.87738
1117,-41.850807
1118,-22.81545
1119,60.911285
1120,-58.545258
1121,67.990135
1122,-38.429684
1123,-58.28333
1124,67.0309
1125,59.386818
1126,36.33413
1127,74.91457
1128,-57.818638
1129,18.763021
1130,35.642174
1131,62.244663
1132,-33.31199
1133,31.534016
1134,27.885504
1135,-63.05491
1136,36.316093
1137,35.99062
1138,-38.41592
1139,-38.376457
1140,-77.61707
1141,70.285706
1142,77.87278
1143,60.385803
1144,36.51268
1145,-41.126938
1146,-38.380413
1147,-38.44266
1148,72.16964
1149,28.36791
1150,-59.206818
1151,-68.20033
1152,-60.558563
1153,28.212446
1154,-66.67184
1155,35.894917
1156,36.582607
1157,49.80685
1158,26.302317
1159,54.44426
1160,78.125656
1161,59.983524
1162,-48.34941
1163,-20.887857
1164,-58.599567
1165,63.0151
1166,40.31319
1167,-12.312572
1168,6.747691
1169,53.18729
1170,-36.546318
1171,-60.459435
1172,15.272118
1173,-30.601145
1174,-58.95066
1175,36.497135
1176,40.712532
1177,-32.81675
1178,-37.382957
1179,-37.823273
1180,24.135614
1181,-72.110855
1182,-51.80675
1183,-34.06899
1184,-69.08529
1185,22.377527
1186,53.71225
1187,59.69133
1188,-7.149557
1189,22.490866
1190,-8.810873
1191,-69.97014
1192,-38.630085
1193,-10.292233
1194,59.425343
1195,28.5236
1196,-51.633877
