,gameId,teamId,champ_WR_dif,user_champ_WR,top_tier,jug_tier,mid_tier,carry_tier,support_tier,c_top_tier,c_jug_tier,c_mid_tier,c_carry_tier,c_support_tier,slayer,tank,fighter,mage,marksman,controller,c_slayer,c_tank,c_fighter,c_mage,c_marksman,c_controller,match_cnt,win
0,4731013025,200,-0.012459999999999994,59.6,4.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,124.2,True
0,4731068537,100,0.003080000000000005,52.8,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,5.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,219.6,False
0,4731174807,200,-0.0003400000000000181,67.4,1.0,3.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,35.8,True
0,4731196643,100,0.0006399999999999961,61.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,53.6,True
0,4731274215,100,0.008359999999999979,54.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,154.8,True
0,4731306568,100,-0.007499999999999995,54.8,1.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,53.0,True
0,4731323937,200,-0.0005799999999999805,60.4,1.0,2.0,3.0,6.0,3.0,2.0,1.0,3.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,137.0,True
0,4731367256,200,-0.0030200000000000227,47.6,3.0,3.0,2.0,2.0,1.0,6.0,3.0,4.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,75.6,False
0,4731400272,200,0.015439999999999987,59.0,1.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,1.0,5.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,59.0,True
0,4731406459,200,0.0017400000000000193,48.6,4.0,3.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,38.4,False
0,4731486835,200,0.008200000000000018,60.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,201.2,False
0,4731505014,200,0.01601999999999999,62.4,6.0,2.0,6.0,4.0,5.0,2.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,34.2,False
0,4731577696,100,-0.013739999999999997,49.4,2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,5.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,127.6,False
0,4731608346,100,0.0015000000000000124,33.6,2.0,3.0,3.0,3.0,2.0,3.0,2.0,6.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,17.4,False
0,4731610148,200,0.011080000000000012,57.6,5.0,3.0,6.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,428.2,False
0,4731644908,200,-0.009339999999999992,59.6,4.0,3.0,2.0,3.0,3.0,5.0,3.0,6.0,5.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,51.0,False
0,4731648701,200,0.02951999999999998,54.8,1.0,2.0,2.0,2.0,3.0,2.0,1.0,6.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,113.6,False
0,4731661609,200,-0.006559999999999988,54.4,6.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,300.4,False
